"","Economy","IT","Life_Cult","Politics","Society","World","Month"
"1",100299467,24296749,66131706,94285401,224650126,56687534,"Jan"
"2",82521190,26555546,59990236,81167199,194817320,52864166,"Feb"
"3",92645918,22941666,81804632,102232493,274181803,69581703,"Mar"
"4",64331652,26212190,29590309,90126201,171488436,45564842,"Apr"
"5",58095652,17539548,30606221,79272666,143187212,49014367,"May"
"6",46962944,15534144,36127124,68998163,148380716,54223983,"Jun"
"7",74689167,20514830,47363316,80313179,155427641,66508929,"Jul"
"8",81392661,31242073,64057097,99345202,149784502,85951266,"Aug"
"9",59546093,28298774,58349235,113801437,152040715,63440955,"Sep"
"10",56738399,27382774,53798393,90612117,163603339,67405451,"Oct"
"11",109938342,36858246,80294001,104213296,271759272,65990900,"Nov"
"12",106645397,26299255,88148142,45959082,241917259,74303715,"Dec"
