"","MALER","FEMALER","X10","X20","X30","X40","X50","X60","cat"
"1",2021.04,384.96,0,168.42,721.8,890.22,457.14,168.42,"E"
"2",644.91,132.09,7.77,108.78,225.33,256.41,132.09,46.62,"E"
"3",463.55,171.45,6.35,25.4,165.1,247.65,133.35,57.15,"E"
"4",489.01,129.99,6.19,105.23,191.89,167.13,105.23,43.33,"E"
"5",505.8,56.2,0,16.86,118.02,213.56,157.36,56.2,"E"
"6",417.24,131.76,5.49,32.94,148.23,203.13,126.27,32.94,"E"
"7",64.68,474.32,48.51,167.09,118.58,140.14,32.34,26.95,"E"
"8",431.8,76.2,5.08,81.28,162.56,162.56,55.88,35.56,"E"
"9",69.75,395.25,46.5,125.55,111.6,120.9,41.85,23.25,"E"
"10",347.88,98.12,4.46,98.12,151.64,120.42,49.06,22.3,"E"
